id,name,category,latitude,longitude,is_verified
241,Sigma Community health Center,district_emergency,30.8658007,75.8635306,1
244,Jyoti Clinic,district_emergency,30.8663757,75.8640902,1
245,Med-C,district_emergency,28.3577159,75.59015,1
247,Delhi Heart and Lung Institute Super Speciality Hospital,district_emergency,28.6416777,77.2052683,1
248,Sant Isher Singh Ji Memorial Hospital,district_emergency,30.7274711,75.9453152,1
249,Mata Tej Kaur Memorial Subsidary Health Centre,district_emergency,30.8691941,75.8819756,1
250,Partap Hospital Daba,district_emergency,30.8673205,75.8856798,1
251,Shri Harkrishan Sahib Charitable Hospital,district_emergency,30.867105,75.8352921,1
252,Govt.Veternery,district_emergency,30.9173817,75.7174368,1
253,Jeet Hospital,district_emergency,30.8666211,75.9204518,1
254,Indraprastha Apollo Hospital,district_emergency,28.5408389,77.2834999,1
255,Pooja Clinic,district_emergency,30.8676981,75.9204096,1
256,Appasamy Hospital,district_emergency,13.0750445,80.2151198,1
258,Appolo Clinic,district_emergency,13.0892073,80.2178866,1
259,Sri Vinayaka Poly Clinic,district_emergency,12.939058,77.5510802,1
260,RMV Hospital,district_emergency,13.0322788,77.576876,1
261,Army Hospital,district_emergency,32.9081188,77.5773924,1
262,Yashomathi Hospitals,district_emergency,12.9559302,77.7112689,1
263,Singareni Area Hospital,district_emergency,17.9109978,80.8012159,1
264,"Sankara Eye Hospital, Kanchipuram",district_emergency,12.965059,80.128212,1
265,Shree Sakthi Hospital,district_emergency,18.5883392,73.8015444,1
266,Ayushman Hospital,district_emergency,28.5965201,77.0493833,1
267,Govt Dispensory,district_emergency,28.5866431,77.0573761,1
268,Little Lourdes Hospital Kidangoor,district_emergency,9.6834087,76.6117672,1
270,Mallige Medical Centre,district_emergency,12.985247,77.5803846,1
271,Beri Maternity Hospital,district_emergency,31.6325186,74.8491806,1
272,Shimla Sanitarium and Hospital,district_emergency,31.1030922,77.1559078,1
273,Mariampur Hospital,district_emergency,26.465464,80.305789,1
274,Ayurvedic Mental Hospital,district_emergency,28.7237864,77.1497987,1
275,St Luke Hospital,district_emergency,27.4648038,95.3612101,1
276,Pinewood Hospital,district_emergency,27.4970136,95.3516507,1
277,Life Line Hospital - Tinsukia,district_emergency,27.4925976,95.3609741,1
278,Srm Speciality Hospital,district_emergency,13.0331325,80.1810857,1
279,"L.G.B. Civil Hospital,Tinsukia",district_emergency,27.4991191,95.3587625,1
280,Aditya Hospital,district_emergency,27.4941647,95.3484441,1
281,Dr. S.K.Dey Hospital,district_emergency,27.4889906,95.3522515,1
282,Holy Family Hospital Plassanal,district_emergency,9.7062998,76.7598364,1
283,"Sushrusha Hospital, Kozha Kuravlingad",district_emergency,9.761646,76.5677558,1
284,ZP rural Hospital,district_emergency,17.5831138,74.4457383,1
285,"Shridevi Hospital, Tumakuru",district_emergency,13.3392288,77.1045572,1
286,"Surya Hospital, Coimbatore",district_emergency,11.0390101,76.979517,1
287,"KD Cosmetic Surgery Centre,Sector 34-A",district_emergency,30.7245237,76.7689883,1
288,Remedy Hospitals,district_emergency,17.4636217,78.4567398,1
289,Fair Pharma,district_emergency,10.8927566,76.9246984,1
290,Vasan eye Care Hospital,district_emergency,10.9560967,76.9540004,1
291,Karva Hospital,district_emergency,18.5009733,73.8461063,1
293,Jeevan Deep Medicare Centre,district_emergency,18.5433023,73.7838607,1
294,Devine Hospital,district_emergency,13.0038999,77.6039313,1
295,Anand Hospital,district_emergency,18.6539354,73.7646919,1
296,"Government Taluk Hospital,Koyilandy",district_emergency,11.4425414,75.6926043,1
297,Carewell Hospital & Research Centre,district_emergency,12.5113561,74.9982867,1
298,"KIMS, Kasaragod",district_emergency,12.50755,74.9909039,1
300,Dr. Batra Clinic,district_emergency,12.9797287,77.7271089,1
301,Mamata Hospital.,district_emergency,19.1673026,73.2341504,1
302,Vatsalya Maternity and Surgical Hospital,district_emergency,19.1653819,73.2309738,1
303,Dube Hospital,district_emergency,19.1661295,73.2355095,1
304,Government Maternity Hospital,district_emergency,12.9988604,77.5817424,1
305,Soujanya Clinic,district_emergency,12.9681189,77.54325,1
307,Sahyadri Hospital,district_emergency,18.5075061,73.8058341,1
308,"Krishna Hospital, Pune",district_emergency,18.5092055,73.8128199,1
309,Nandi Hospital,district_emergency,11.4729282,75.6423564,1
310,Aakash Fertility Centre & Hospital,district_emergency,13.0554597,80.2118365,1
311,Sukhda Hospital,district_emergency,28.5469254,77.2445375,1
312,New Akshay Mallya Hospital,district_emergency,12.9568527,77.6990468,1
313,Rajan Eye Care Hospital,district_emergency,13.0508335,80.2434416,1
314,Dr. Chaku Eye SurgeryCentre,district_emergency,30.8884399,75.836372,1
315,Siddarth Municipal Hospital,district_emergency,19.1597156,72.8399209,1
316,MMC Govenment Hospital,district_emergency,13.1635998,80.2435516,1
317,Avadi Hospital,district_emergency,13.1174941,80.1008132,1
318,Presidency Hospital,district_emergency,12.9951629,77.69923,1
319,Eden Hospital,district_emergency,22.5727398,88.3600196,1
320,Calcutta Medical College & Hospital,trauma_l2,22.5722242,88.3614363,1
321,Naliyath Medical Chamber,district_emergency,9.9432462,76.3741513,1
323,LEAF HOSPITAL,district_emergency,17.4629614,78.3673949,1
324,Government Hospital Narlai,district_emergency,25.3152611,73.5317631,1
325,Bone & Joint Clinic,district_emergency,12.2655089,76.644961,1
326,Ambicare Hospital,district_emergency,17.4535178,78.364084,1
327,Men Tsee Khang,district_emergency,32.2391459,76.3248242,1
328,BGS Gleneagles Hospitals,district_emergency,12.90306,77.4974982,1
330,Civil Hospital,district_emergency,23.2196609,72.641845,1
331,Nirola Hospital,district_emergency,30.4097656,74.0286599,1
333,Rishi Valley Rural Health Center,district_emergency,13.6417645,78.4526879,1
334,Kalpana Lifeline Hospital Pvt. Ltd,district_emergency,19.388889,72.8251108,1
335,Srinivas Clinic,district_emergency,12.9073391,77.5830655,1
336,Vidyasagar State General Hospital,district_emergency,22.4987178,88.3163322,1
338,Tulsi Hospital,district_emergency,28.9698124,77.7306271,1
340,Agarwal Hospital,district_emergency,26.464244,80.314388,1
341,Rama Krishna Mission Hospital,district_emergency,26.468763,80.318223,1
342,Madhukar General Hospital,district_emergency,18.4789234,73.8241232,1
343,Ram Lal Kundan Lal Orthopaedic Hospital,district_emergency,28.6179569,77.2866841,1
344,Dr. Shyama Prasad Mukherjee Chest Hospital,district_emergency,28.6140205,77.2898985,1
345,Dr. Naik Clinic,district_emergency,18.4745644,73.8140764,1
347,Renduchintala Radhakrishna Eye Hospital,district_emergency,17.2435489,80.1373461,1
348,sree dhanalakshmi family clinic,district_emergency,13.0583046,80.211745,1
349,Metro Hospital,district_emergency,12.8915893,77.560715,1
350,Mediways,district_emergency,30.882116,75.7749218,1
351,Kushinagar Clinic,district_emergency,26.7379729,83.895048,1
353,Railway Hospital,district_emergency,30.9407359,74.6165687,1
354,Amar Hospital,district_emergency,30.941201,74.6131659,1
355,Frances Newton (Mission) Hospital,district_emergency,30.9410759,74.6142556,1
356,Cantonment Board Hospital,district_emergency,30.9221075,74.6179782,1
358,Jevan Vikas Hospital,district_emergency,19.1106501,72.8483274,1
359,Health Center,district_emergency,23.1039413,72.5679365,1
360,"Yashoda Super Speciality Hospital, Anand Vihar",district_emergency,28.6450931,77.3287535,1
361,Dr Kasbekar Sterling Hospital,district_emergency,19.0698454,72.9873953,1
362,New Gardinar Road Hospital,district_emergency,25.6102948,85.130907,1
363,Brookefield Hospital(A Unit Of Sanjeevani Hospital),district_emergency,12.9668213,77.7168891,1
364,Sitaram Bhartia,district_emergency,28.4675077,77.0824741,1
365,Civil Hospital Shillong,district_emergency,25.5679611,91.8807062,1
366,Indira Gandhi Medical College and Research Institute,trauma_l2,11.9404008,79.7962236,1
367,JOY Hospital,district_emergency,19.0558773,72.8973945,1
368,Inlaks Hospital,district_emergency,19.0466131,72.8964218,1
370,Gunnath PHC,district_emergency,23.0907842,86.9560942,1
371,Lotus Hospital,district_emergency,11.3266236,77.7306301,1
372,PSG Hospitals,district_emergency,11.0188398,77.0073136,1
373,K T V R Group Hospital,district_emergency,11.026167,76.9499384,1
376,L.K. Hospitals,district_emergency,17.4513853,78.5352525,1
377,"Government Hospital, Gurusar Sudhar",district_emergency,30.7741425,75.6489467,1
379,Karunalayam Hospital,district_emergency,12.9111263,77.7073377,1
380,SDS Tuberculosis Research Centre and Rajiv Gandhi Institute of Chest diseases,district_emergency,12.9367955,77.5907094,1
381,Maiya Multispecialty Hospital,district_emergency,12.942614,77.5854533,1
383,Tibetan Primary Health Centre,district_emergency,32.0377259,76.7128791,1
384,Narayana Netralaya,district_emergency,12.9671401,77.6094485,1
385,Nagappa Hadli Hospital,district_emergency,13.0829889,77.5489026,1
386,"Vasan Eye Care Hospital, Nagarabhavi",district_emergency,12.9746134,77.5129757,1
387,Rc Hospital,district_emergency,12.930936,77.5153776,1
388,Veturi Child Health Centre,district_emergency,12.9263226,77.5156579,1
389,Ketham's Hospital Pvt. Ltd,district_emergency,13.0686568,77.5582571,1
390,"Government Hospital, Harihar Taluk Hospital",district_emergency,14.5039199,75.8094779,1
391,Coimbatore Bone and Joint Foundation (P) Ltd.,district_emergency,11.0149404,76.9543844,1
392,Ragavendra Hospital,district_emergency,13.0425433,77.5155377,1
393,Guru Kripa Clinic,district_emergency,13.0349833,77.5676844,1
394,Deeksha Orthopaedic Hospital,district_emergency,13.0973922,77.5964894,1
395,Shushrusha Hospital,district_emergency,13.0997316,77.5980216,1
396,Deiva Hospital,district_emergency,10.7746145,79.1231818,1
397,Chirag Hospital and Maternity Center,district_emergency,12.9126298,77.5913594,1
398,Udhbhava Hospital,district_emergency,12.9256842,77.5489346,1
399,DG Hospital,district_emergency,12.9206648,77.5598673,1
402,Dr K D Godkhindi,district_emergency,15.43305,75.6367673,1
404,"Womens Medical Centre, Coimbatore",district_emergency,11.0337824,76.9517175,1
405,Kangila Clinic,district_emergency,12.9336501,77.5660602,1
406,Masonic Medical Centre For Children,district_emergency,10.9997961,76.9799441,1
407,TB HOSPITAL,district_emergency,22.3410222,87.3035662,1
408,Chaitanya Hospital,district_emergency,13.0990911,77.5861904,1
409,Somu medicals,district_emergency,11.0264568,76.9448591,1
410,Akila Medicals,district_emergency,11.0265516,76.9443924,1
411,Dr.U.S.Prakash's Clinic,district_emergency,11.0256249,76.9372845,1
412,"Vasan Eye Care Hospital, Koramangala",district_emergency,12.9402371,77.6253403,1
413,health nest,district_emergency,12.9075992,77.6488507,1
414,Amma's ENT Clinic,district_emergency,13.0281613,77.5793947,1
415,Krishna Specialty Clinic,district_emergency,13.026721,77.5789272,1
416,KG Eye Hospital,district_emergency,11.0825506,76.997422,1
417,"Shree Siva Hospital, Ganapathy,",district_emergency,11.0441103,76.9856071,1
418,Seventh Day Adventist Hospital,district_emergency,12.995625,77.6113272,1
420,Kids Care Clinic,district_emergency,12.914434,77.6050207,1
421,Mettupalayam GH,district_emergency,11.3047109,76.9364387,1
422,Balasubramaniam Vengudi Hospital,district_emergency,12.8307101,79.7035972,1
423,Hindustan Hospital,district_emergency,11.2816017,76.9462511,1
424,K.R. Hospital,district_emergency,11.1564875,76.944041,1
425,Kalpaviruksha Ayurvedic Hospital,district_emergency,11.1293552,76.9351656,1
426,Pristine Health care,district_emergency,12.9382768,77.6186753,1
